"g_dyad_ID_post","g_edge_weights_post","ind1_ID","ind2_ID","ind1_knowledge","ind2_knowledge","knowledge_comb","knowledge_comb2","dyad_ID","g_edge_weights_pre","HKLK_no_dual_events_mean","edge_diff_abs","knowledge_comb3","knowledge_comb4","edge_diff_resid","ind1_visit_no_pre","ind2_visit_no_pre","ind1_visit_no_post","ind2_visit_no_post","new_edge","HKLK_no_dual_events_binary","knowledge_comb2_HKLK_dual_events_binary","HKLK_no_dual_events_binary_c","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","HKLK_no_dual_events_mean_z","edge_diff_resid_10","g_edge_weights_pre_z"
"J3467 J4214",0.0384615384615385,"J3467","J4214","naive","naive","naive naive","naive naive","J3467 J4214",0.051948051948052,0,-0.0134865134865135,"same","naive",0.00251297511616743,140,167,80,134,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0251297511616743,0.397983163491992
"J3467 J4954",0.0434782608695652,"J3467","J4954","naive","naive","naive naive","naive naive","J3467 J4954",0.0860215053763441,0,-0.0425432445067789,"same","naive",-0.00499076302865177,140,44,80,113,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0499076302865177,1.2191471605127
"J3467 J4962",0.00884955752212389,"J3467","J4962","naive","naive","naive naive","naive naive","J3467 J4962",0.010752688172043,0,-0.00190313064991911,"same","naive",-0.0119615637614048,140,85,80,124,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.119615637614048,-0.594817570610919
"J3467 J664",0.015,"J3467","J664","naive","knowledge","naive knowledge","knowledge naive","J3467 J664",0.0110497237569061,0,0.0039502762430939,"different","knowledge",-0.00592026849195284,140,512,80,366,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.0592026849195284,-0.58765906733103
"J3492 J3692",0.0185185185185185,"J3492","J3692","naive","naive","naive naive","naive naive","J3492 J3692",0.0526315789473684,0,-0.0341130604288499,"same","naive",-0.0176812102348367,54,1,68,14,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.176812102348367,0.414456039187186
"J3492 J4109",0.05,"J3492","J4109","naive","naive","naive naive","naive naive","J3492 J4109",0.0505050505050505,0,-0.000505050505050494,"same","naive",0.0145816747381511,54,187,68,145,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.145816747381511,0.363207092579911
"J3492 J4111",0.0460526315789474,"J3492","J4111","naive","naive","naive naive","naive naive","J3492 J4111",0.0571428571428571,0,-0.0110902255639097,"same","naive",0.00819521113289658,54,394,68,153,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0819521113289658,0.523177018775475
"J3492 J4126",0.0612244897959184,"J3492","J4126","naive","naive","naive naive","naive naive","J3492 J4126",0.029126213592233,0,0.0320982762036854,"same","naive",0.0336619248782911,54,193,68,213,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.336619248782911,-0.152018967729147
"J3492 J4214",0.0166666666666667,"J3492","J4214","naive","naive","naive naive","naive naive","J3492 J4214",0.00917431192660551,0,0.00749235474006119,"same","naive",-0.00356447238640977,54,167,68,134,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0356447238640977,-0.632856149507351
"J3492 J4954",0.0396825396825397,"J3492","J4954","naive","naive","naive naive","naive naive","J3492 J4954",0.0208333333333333,0,0.0188492063492064,"same","naive",0.0151672350131153,54,44,68,113,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.151672350131153,-0.35187586554972
