"ID1","ID2"
"J1057","J5582"
"J1057","J5583"
"J1057","J5595"
"J1057","J56"
"J1057","J5607"
"J1057","J5618"
"J1057","J5645"
"J1057","J5657A"
"J1057","J5658"
"J1057","J595"
"J1057","J5999"
"J1057","J6000"
"J1057","J6014"
"J1057","J6017"
"J1057","J6023"
"J1057","J6024"
"J1057","J6027"
"J1057","J640"
"J1057","J664"
"J1057","J910"
"J1057","J971"
"J1057","J990"
"J1076","J1093"
"J1076","J1096"
"J1076","J1154"
"J1076","J1266"
"J1076","J1317"
"J1076","J1345"
"J1076","J1351"
"J1076","J1458"
"J1076","J1480"
"J1076","J1529"
"J1076","J1556"
"J1076","J1618"
"J1076","J1623"
"J1076","J1627"
"J1076","J1631"
"J1076","J164"
"J1076","J1735"
"J1076","J1902"
"J1076","J1916"
"J1076","J1962"
"J1076","J1964"
"J1076","J1973"
"J1076","J2039"
"J1076","J2124"
"J1076","J2128"
"J1076","J2168"
"J1076","J2196"
"J1076","J2375"
"J1076","J2377"
"J1076","J2392"
"J1076","J2415"
"J1076","J2488"
"J1076","J2563"
"J1076","J2572"
"J1076","J2621"
"J1076","J2661"
"J1076","J2728"
"J1076","J2801"
"J1076","J2941"
"J1076","J295"
"J1076","J2969"
"J1076","J3096"
"J1076","J3305"
"J1076","J3369"
"J1076","J3383"
"J1076","J3492"
"J1076","J3508"
"J1076","J3549"
"J1076","J3610"
"J1076","J3679"
"J1076","J3702"
"J1076","J3714"
"J1076","J3715"
"J1076","J3716"
"J1076","J3718"
"J1076","J3749"
"J1076","J3753"
"J1076","J3759"
"J1076","J3845"
"J1076","J3884"
"J1076","J3899"
"J1076","J3987"
"J1076","J4001"
"J1076","J4044"
"J1076","J4046"
"J1076","J4109"
"J1076","J4112"
"J1076","J4126"
"J1076","J4151"
"J1076","J4161"
"J1076","J4162"
"J1076","J4189"
"J1076","J42"
"J1076","J4214"
"J1076","J4304"
"J1076","J4315"
"J1076","J4345"
"J1076","J4514"
"J1076","J4521"
"J1076","J4552"
"J1076","J4569"
"J1076","J4601"
"J1076","J4651"
"J1076","J4654"
"J1076","J4715"
"J1076","J4728"
"J1076","J4731"
"J1076","J4747"
"J1076","J4782"
"J1076","J4840"
"J1076","J4954"
"J1076","J4961"
"J1076","J4962"
"J1076","J4967"
"J1076","J4968"
"J1076","J4986"
"J1076","J4998"
"J1076","J5006"
"J1076","J5012"
"J1076","J5017"
"J1076","J5021"
"J1076","J5043"
"J1076","J505"
"J1076","J5053"
"J1076","J5074"
"J1076","J5089"
"J1076","J5095"
"J1076","J5121"
"J1076","J5146"
"J1076","J5215"
"J1076","J5222"
"J1076","J5255"
"J1076","J5269"
"J1076","J5271"
"J1076","J5309"
"J1076","J5316"
"J1076","J5379"
"J1076","J5428"
"J1076","J5456"
"J1076","J5475"
"J1076","J5476"
"J1076","J5477"
"J1076","J5489"
"J1076","J5503"
"J1076","J5519"
"J1076","J5559"
"J1076","J5566"
"J1076","J5568"
"J1076","J5582"
"J1076","J5583"
"J1076","J5595"
"J1076","J56"
"J1076","J5607"
"J1076","J5618"
"J1076","J5645"
"J1076","J5657A"
"J1076","J5658"
"J1076","J595"
"J1076","J5999"
"J1076","J6000"
"J1076","J6014"
"J1076","J6017"
"J1076","J6023"
"J1076","J6024"
"J1076","J6027"
"J1076","J640"
"J1076","J664"
"J1076","J910"
"J1076","J971"
"J1076","J990"
"J1093","J1096"
"J1093","J1154"
"J1093","J1266"
"J1093","J1317"
"J1093","J1345"
"J1093","J1351"
"J1093","J1458"
"J1093","J1480"
"J1093","J1529"
"J1093","J1556"
"J1093","J1618"
"J1093","J1623"
"J1093","J1627"
"J1093","J1631"
"J1093","J164"
"J1093","J1735"
"J1093","J1902"
"J1093","J1916"
"J1093","J1962"
"J1093","J1964"
"J1093","J1973"
"J1093","J2039"
"J1093","J2124"
"J1093","J2128"
"J1093","J2168"
"J1093","J2196"
"J1093","J2375"
"J1093","J2377"
"J1093","J2392"
"J1093","J2415"
"J1093","J2488"
"J1093","J2563"
"J1093","J2572"
"J1093","J2621"
"J1093","J2661"
"J1093","J2728"
"J1093","J2801"
"J1093","J2941"
"J1093","J295"
"J1093","J2969"
"J1093","J3096"
"J1093","J3305"
"J1093","J3369"
"J1093","J3383"
"J1093","J3492"
"J1093","J3508"
"J1093","J3549"
"J1093","J3610"
"J1093","J3679"
"J1093","J3702"
"J1093","J3714"
