"JID","knowledge","phase","feeder","visit_number"
"J4782","naive","post_knowledge","visit_number_LK",76
"J4782","naive","post_knowledge","visit_number_HK",35
"J4819","naive","post_knowledge","visit_number_LK",41
"J4819","naive","post_knowledge","visit_number_HK",13
"J4836","naive","post_knowledge","visit_number_LK",3
"J4836","naive","post_knowledge","visit_number_HK",3
"J4840","naive","post_knowledge","visit_number_LK",10
"J4840","naive","post_knowledge","visit_number_HK",5
"J494","naive","post_knowledge","visit_number_LK",0
"J494","naive","post_knowledge","visit_number_HK",2
"J4951","naive","post_knowledge","visit_number_LK",279
"J4951","naive","post_knowledge","visit_number_HK",42
"J4954","naive","post_knowledge","visit_number_LK",38
"J4954","naive","post_knowledge","visit_number_HK",33
"J4961","naive","post_knowledge","visit_number_LK",53
"J4961","naive","post_knowledge","visit_number_HK",16
"J4962","naive","post_knowledge","visit_number_LK",10
"J4962","naive","post_knowledge","visit_number_HK",3
"J4967","knowledgeable","post_knowledge","visit_number_LK",382
"J4967","knowledgeable","post_knowledge","visit_number_HK",1435
"J4968","naive","post_knowledge","visit_number_LK",5
"J4968","naive","post_knowledge","visit_number_HK",2
"J4972","naive","post_knowledge","visit_number_LK",0
"J4972","naive","post_knowledge","visit_number_HK",1
"J4975","naive","post_knowledge","visit_number_LK",0
"J4975","naive","post_knowledge","visit_number_HK",1
"J4982","naive","post_knowledge","visit_number_LK",242
"J4982","naive","post_knowledge","visit_number_HK",113
"J4986","naive","post_knowledge","visit_number_LK",17
"J4986","naive","post_knowledge","visit_number_HK",15
"J4998","naive","post_knowledge","visit_number_LK",3
"J4998","naive","post_knowledge","visit_number_HK",0
"J5006","naive","post_knowledge","visit_number_LK",43
"J5006","naive","post_knowledge","visit_number_HK",61
"J5012","naive","post_knowledge","visit_number_LK",100
"J5012","naive","post_knowledge","visit_number_HK",74
"J5017","naive","post_knowledge","visit_number_LK",121
"J5017","naive","post_knowledge","visit_number_HK",77
"J5021","naive","post_knowledge","visit_number_LK",12
"J5021","naive","post_knowledge","visit_number_HK",12
"J5022","naive","post_knowledge","visit_number_LK",1
"J5022","naive","post_knowledge","visit_number_HK",2
"J5043","naive","post_knowledge","visit_number_LK",55
"J5043","naive","post_knowledge","visit_number_HK",9
"J5045","naive","post_knowledge","visit_number_LK",1
"J5045","naive","post_knowledge","visit_number_HK",5
"J505","naive","post_knowledge","visit_number_LK",378
"J505","naive","post_knowledge","visit_number_HK",219
"J5050","naive","post_knowledge","visit_number_LK",12
"J5050","naive","post_knowledge","visit_number_HK",3
"J5053","knowledgeable","post_knowledge","visit_number_LK",142
"J5053","knowledgeable","post_knowledge","visit_number_HK",406
"J5056","naive","post_knowledge","visit_number_LK",79
"J5056","naive","post_knowledge","visit_number_HK",39
"J5068","naive","post_knowledge","visit_number_LK",1
"J5068","naive","post_knowledge","visit_number_HK",0
